;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
166;Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;1400.0;119,5;0;67,83;69,9;3,6;47,35;12,24;0,311;0,222;0,469
167;Ukraine ;C.W. OF IND. STATES ;46710816;603700;5400.0;77,4;-0,39;20,34;99,7;259,9;8,82;14,39;0,187;0,452;0,361
168;United Arab Emirates ;NEAR EAST                          ;2602713;82880;23200.0;31,4;1,03;14,51;77,9;475,3;18,96;4,4;0,04;0,585;0,375
169;United Kingdom ;WESTERN EUROPE                     ;60609153;244820;27700.0;247,6;2,19;5,16;99,0;543,5;10,71;10,13;0,005;0,237;0,758
170;United States ;NORTHERN AMERICA                   ;298444215;9631420;37800.0;31,0;3,41;6,5;97,0;898,0;14,14;8,26;0,01;0,204;0,787
171;Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;12800.0;19,5;-0,32;11,95;98,0;291,4;13,91;9,05;0,093;0,311;0,596
172;Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;1700.0;61,0;-1,72;71,1;99,3;62,9;26,36;7,84;0,342;0,229;0,43
173;Vanuatu ;OCEANIA                            ;208869;12200;2900.0;17,1;0;55,16;53,0;32,6;22,72;7,82;0,26;0,12;0,62
174;Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;4800.0;28,2;-0,04;22,2;93,4;140,1;18,71;4,92;0,04;0,419;0,541
175;Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;2500.0;256,1;-0,45;25,95;90,3;187,7;16,86;6,22;0,209;0,41;0,381
176;Yemen ;NEAR EAST                          ;21456188;527970;800.0;40,6;0;61,5;50,2;37,2;42,89;8,3;0,135;0,472;0,393
177;Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;800.0;15,3;0;88,29;80,6;8,2;41;19,93;0,22;0,29;0,489
178;Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;1900.0;31,3;0;67,69;90,7;26,8;28,01;21,84;0,179;0,243;0,579
